trade_date,symbol,pre_close,open,high,low,close,total_vol,total_amt,upper_limit,lower_limit
2023-06-05,600519.SH,1670.6,1666.16,1682.88,1663.0,1665.0,1620050,2704294313.0,1837.66,1503.54
2023-06-02,600519.SH,1635.92,1645.0,1673.15,1636.11,1670.6,2505802,4163116244.0,1799.51,1472.33
2023-06-01,600519.SH,1628.9,1618.0,1674.99,1618.0,1635.92,2864525,4708722933.0,1791.79,1466.01
2023-05-31,600519.SH,1668.29,1661.01,1665.72,1626.67,1628.9,3695697,6053737281.0,1835.12,1501.46
2023-05-30,600519.SH,1689.0,1689.0,1698.89,1658.56,1668.29,2645340,4424706688.0,1857.9,1520.1
2023-05-29,600519.SH,1690.56,1697.0,1698.35,1678.0,1689.0,1777141,2998147159.0,1859.62,1521.5
2023-05-26,600519.SH,1701.0,1702.0,1705.0,1675.01,1690.56,1829110,3090691546.0,1871.1,1530.9
2023-05-25,600519.SH,1710.9,1705.99,1710.0,1690.0,1701.0,2246560,3814504093.0,1881.99,1539.81
2023-05-24,600519.SH,1724.55,1732.33,1733.55,1710.11,1710.9,1847927,3182416491.0,1897.01,1552.1
2023-05-23,600519.SH,1746.0,1753.99,1754.0,1724.55,1724.55,1689421,2934118394.0,1920.6,1571.4
2023-05-22,600519.SH,1699.5,1690.01,1752.0,1690.0,1746.0,4128432,7165754129.0,1869.45,1529.55
2023-05-19,600519.SH,1691.0,1671.0,1704.33,1655.55,1699.5,2674116,4504022549.0,1860.1,1521.9
2023-05-18,600519.SH,1701.0,1704.99,1705.4,1690.0,1691.0,1921928,3260170684.0,1871.1,1530.9
2023-05-17,600519.SH,1703.29,1708.0,1713.0,1699.01,1701.0,1677691,2858697942.0,1873.62,1532.96
2023-05-16,600519.SH,1716.3,1713.99,1719.99,1697.0,1703.29,2222377,3785811907.0,1887.93,1544.67
2023-05-15,600519.SH,1706.4,1702.0,1717.0,1691.2,1716.3,2574018,4384647977.0,1877.04,1535.76
2023-05-12,600519.SH,1717.07,1715.0,1729.88,1705.01,1706.4,1946045,3335038590.0,1888.78,1545.36
2023-05-11,600519.SH,1725.0,1731.0,1735.0,1715.0,1717.07,1524612,2623835905.0,1897.5,1552.5
2023-05-10,600519.SH,1722.0,1715.19,1736.0,1715.0,1725.0,2077260,3588550877.0,1894.2,1549.8
2023-05-09,600519.SH,1720.52,1715.0,1739.98,1707.07,1722.0,2937796,5057346564.0,1892.57,1548.47
2023-05-08,600519.SH,1750.0,1768.32,1769.0,1717.17,1720.52,3317126,5742915994.0,1925.0,1575.0
2023-05-05,600519.SH,1749.9,1766.0,1766.0,1736.39,1750.0,2071421,3621305973.0,1924.89,1574.91
2023-05-04,600519.SH,1760.52,1769.0,1777.67,1736.0,1749.9,2746642,4818999650.0,1936.57,1584.47
2023-04-28,600519.SH,1757.92,1763.01,1782.77,1753.97,1760.52,2622464,4636084177.0,1933.71,1582.13
2023-04-27,600519.SH,1743.91,1748.0,1770.0,1730.0,1757.92,2560504,4489906864.0,1918.3,1569.52
2023-04-26,600519.SH,1730.38,1744.0,1761.0,1720.0,1743.91,2789160,4861477657.0,1903.42,1557.34
2023-04-25,600519.SH,1705.0,1706.0,1735.98,1702.0,1730.38,2058251,3534989917.0,1875.5,1534.5
2023-04-24,600519.SH,1725.47,1721.0,1722.0,1701.0,1705.0,2023091,3456728718.0,1898.02,1552.92
2023-04-21,600519.SH,1741.88,1746.0,1748.08,1721.28,1725.47,1851787,3210937222.0,1916.07,1567.69
2023-04-20,600519.SH,1759.0,1760.11,1765.0,1729.0,1741.88,1988537,3468366835.0,1934.9,1583.1
2023-04-19,600519.SH,1758.0,1762.0,1765.5,1750.0,1759.0,1460056,2568632845.0,1933.8,1582.2
2023-04-18,600519.SH,1753.0,1753.0,1769.0,1746.02,1758.0,1831389,3220107647.0,1928.3,1577.7
2023-04-17,600519.SH,1713.42,1740.0,1753.0,1728.0,1753.0,3046723,5303401395.0,1884.76,1542.08
2023-04-14,600519.SH,1723.0,1726.0,1733.0,1704.8,1713.42,2123162,3646526766.0,1895.3,1550.7
